Year,Region Name,Country Code,Country Name,Total Number of Deaths,Number of Deaths Per 100000 of Population,World Bank Classification Region,World Bank Income Classification,Income Classification Code
2015,Central and South America,BRA,Brazil,337,8.5,Latin America & Caribbean,Upper middle income,UMIC
2015,Central and South America,CHL,Chile,0,0,Latin America & Caribbean,High income,HIC
2015,Central and South America,COL,Colombia,298,28.6,Latin America & Caribbean,Upper middle income,UMIC
2015,Central and South America,CRI,Costa Rica,1,1.4,Latin America & Caribbean,Upper middle income,UMIC
2015,Central and South America,ECU,Ecuador,50,10.9,Latin America & Caribbean,Upper middle income,UMIC
2015,Central and South America,SLV,El Salvador,14,7.5,Latin America & Caribbean,Upper middle income,UMIC
2015,Central and South America,GUF,French Guiana,0,0,,Not Classified,
2015,Central and South America,GTM,Guatemala,254,41.1,Latin America & Caribbean,Upper middle income,UMIC
2015,Central and South America,GUY,Guyana,5,17.4,Latin America & Caribbean,High income,HIC
2015,Central and South America,MEX,Mexico,463,14.7,Latin America & Caribbean,Upper middle income,UMIC
2015,Central and South America,NIC,Nicaragua,48,30.2,Latin America & Caribbean,Lower middle income,LMIC
2015,Central and South America,PAN,Panama,38,22.8,Latin America & Caribbean,High income,HIC
2015,Central and South America,PRY,Paraguay,55,27.2,Latin America & Caribbean,Upper middle income,UMIC
2015,Central and South America,PER,Peru,68,8.2,Latin America & Caribbean,Upper middle income,UMIC
2015,Central and South America,URY,Uruguay,2,2.6,Latin America & Caribbean,High income,HIC
2015,Central and South America,VEN,Venezuela (Bolivarian Republic of),237,28.5,Latin America & Caribbean,Upper middle income,UMIC until 2021
2015,Europe,AUT,Austria,0,0,Europe & Central Asia,High income,HIC
2015,Europe,BEL,Belgium,0,0,Europe & Central Asia,High income,HIC
2015,Europe,BGR,Bulgaria,1,1.5,Europe & Central Asia,High income,HIC
2015,Europe,HRV,Croatia,0,0,Europe & Central Asia,High income,HIC
2015,Europe,CZE,Czechia,0,0,Europe & Central Asia,High income,HIC
2015,Europe,DNK,Denmark,0,0,Europe & Central Asia,High income,HIC
2015,Europe,EST,Estonia,0,0,Europe & Central Asia,High income,HIC
2015,Europe,FIN,Finland,0,0,Europe & Central Asia,High income,HIC
2015,Europe,FRA,France,1,0.1,Europe & Central Asia,High income,HIC
2015,Europe,DEU,Germany,2,0.2,Europe & Central Asia,High income,HIC
2015,Europe,GRC,Greece,0,0,Europe & Central Asia,High income,HIC
2015,Europe,HUN,Hungary,0,0,Europe & Central Asia,High income,HIC
2015,Europe,ISL,Iceland,0,0,Europe & Central Asia,High income,HIC
2015,Europe,IRL,Ireland,0,0,Europe & Central Asia,High income,HIC
2015,Europe,ITA,Italy,2,0.4,Europe & Central Asia,High income,HIC
2015,Europe,LVA,Latvia,0,0,Europe & Central Asia,High income,HIC
2015,Europe,LTU,Lithuania,0,0,Europe & Central Asia,High income,HIC
2015,Europe,LUX,Luxembourg,0,0,Europe & Central Asia,High income,HIC
2015,Europe,MLT,Malta,0,0,Middle East & North Africa,High income,HIC
2015,Europe,NLD,Netherlands,2,1.2,Europe & Central Asia,High income,HIC
2015,Europe,MKD,North Macedonia,0,0,Europe & Central Asia,Upper middle income,UMIC
2015,Europe,NOR,Norway,0,0,Europe & Central Asia,High income,HIC
2015,Europe,POL,Poland,0,0,Europe & Central Asia,High income,HIC
2015,Europe,PRT,Portugal,0,0,Europe & Central Asia,High income,HIC
2015,Europe,MDA,Republic of Moldova,0,0,Europe & Central Asia,Upper middle income,UMIC
2015,Europe,ROU,Romania,2,0.6,Europe & Central Asia,High income,HIC
2015,Europe,RUS,Russian Federation,31,0.9,Europe & Central Asia,High income,HIC
2015,Europe,SRB,Serbia,1,1.5,Europe & Central Asia,Upper middle income,UMIC
2015,Europe,SVN,Slovenia,0,0,Europe & Central Asia,High income,HIC
2015,Europe,ESP,Spain,0,0,Europe & Central Asia,High income,HIC
2015,Europe,SWE,Sweden,0,0,Europe & Central Asia,High income,HIC
2015,Europe,CHE,Switzerland,0,0,Europe & Central Asia,High income,HIC
2015,Europe,UKR,Ukraine,3,0.3,Europe & Central Asia,Upper middle income,UMIC
2015,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,4,0.2,Europe & Central Asia,High income,HIC
2015,North America and the Caribbean,ATG,Antigua and Barbuda,0,0,Latin America & Caribbean,High income,HIC
2015,North America and the Caribbean,BHS,Bahamas,1,21.7,Latin America & Caribbean,High income,HIC
2015,North America and the Caribbean,CAN,Canada,1,0.1,North America,High income,HIC
2015,North America and the Caribbean,CUB,Cuba,1,0.8,Latin America & Caribbean,Upper middle income,UMIC
2015,North America and the Caribbean,DMA,Dominica,0,0,Latin America & Caribbean,Upper middle income,UMIC
2015,North America and the Caribbean,DOM,Dominican Republic,56,24.9,Latin America & Caribbean,Upper middle income,UMIC
